jurisdiccion;ID1;sector;ambito;presentismo;respondente;matricula del marco;participa
2;663850017059566;Privado;Urbano;25;25;28;1
2;672520017260267;Privado;Urbano;54;54;59;1
2;681210017460968;Privado;Urbano;48;48;48;1
2;689920017661668;Estatal;Urbano;19;19;45;1
2;707400018063070;Estatal;Urbano;28;28;30;1
2;733770018665173;Privado;Urbano;24;24;33;1
2;751450019066575;Estatal;Urbano;107;97;126;1
2;778120019668677;Estatal;Urbano;42;39;47;1
2;822970020672182;Estatal;Urbano;20;19;22;1
2;120484830001204;Estatal;Urbano;23;21;23;1
2;200808090002008;Estatal;Urbano;22;22;30;1
2;121650030120121;Estatal;Urbano;54;39;57;1
2;138210034136138;Estatal;Urbano;51;50;62;1
2;146520036144146;Privado;Urbano;25;25;25;1
2;179960044176179;Estatal;Urbano;43;42;47;1
2;196800048192196;Estatal;Urbano;96;94;107;1
2;213720052208213;Privado;Urbano;44;44;52;1
2;222210054216222;Privado;Urbano;52;26;56;1
2;230720056224230;Estatal;Urbano;16;15;23;1
2;247800060240247;Estatal;Urbano;26;26;29;1
2;264960064256264;Privado;Urbano;97;91;101;1
2;273570066264273;Estatal;Urbano;22;22;24;1
2;282200068272282;Estatal;Urbano;0;0;42;0
2;290850070280290;Estatal;Urbano;45;44;53;1
2;299520072288299;Privado;Urbano;36;36;41;1
2;308210074296308;Privado;Urbano;46;45;53;1
2;316920076304316;Privado;Urbano;59;58;65;1
2;414050098392414;Privado;Urbano;34;33;39;1
2;423000010040042;Estatal;Urbano;46;44;49;1
2;459000010843245;Estatal;Urbano;16;15;20;1
2;504450011847250;Privado;Urbano;133;133;147;1
2;513600012048051;Privado;Urbano;34;33;41;1
2;550400012851255;Privado;Urbano;51;51;56;1
2;568920013252856;Privado;Urbano;45;45;46;1
2;587520013654458;Estatal;Urbano;30;26;40;1
2;606200014056060;Estatal;Urbano;92;90;113;1
2;624960014457662;Privado;Urbano;14;14;16;1
2;634370014658463;Estatal;Urbano;27;27;28;1
2;672210015461667;Privado;Urbano;113;113;119;1
2;681720015662468;Estatal;Urbano;17;17;32;1
2;691250015863269;Privado;Urbano;51;51;56;1
2;710370016264871;Estatal;Urbano;23;23;23;1
2;719960016465671;Estatal;Urbano;15;15;19;1
2;739200016867273;Estatal;Urbano;14;9;17;1
2;748850017068074;Estatal;Urbano;24;23;30;1
2;758520017268875;Estatal;Urbano;42;42;56;1
2;777920017670477;Estatal;Urbano;41;41;47;1
2;787650017871278;Privado;Urbano;58;55;64;1
2;797400018072079;Privado;Urbano;85;84;91;1
2;807170018272880;Estatal;Urbano;24;24;28;1
2;816960018473681;Estatal;Urbano;33;29;64;1
2;846450019076084;Privado;Urbano;25;25;25;1
2;856320019276885;Estatal;Urbano;38;36;46;1
2;866210019477686;Estatal;Urbano;14;14;20;1
2;876120019678487;Estatal;Urbano;27;25;34;1
2;886050019879288;Estatal;Urbano;21;15;25;1
2;896000020080089;Estatal;Urbano;14;14;22;1
2;905970020280890;Privado;Urbano;19;19;21;1
2;915960020481691;Estatal;Urbano;71;68;93;1
2;925970020682492;Privado;Urbano;90;89;102;1
2;602727060060272;Estatal;Urbano;62;61;92;1
2;100454520001004;Privado;Urbano;64;64;68;1
2;140636342001406;Estatal;Urbano;36;36;39;1
2;160727256001607;Estatal;Urbano;41;41;49;1
2;220991001000220;Privado;Urbano;0;0;18;0
2;145920032144145;Privado;Urbano;97;96;112;1
2;164520036162164;Privado;Urbano;21;21;21;1
2;183200040180183;Privado;Urbano;42;42;43;1
2;201960044198201;Privado;Urbano;36;36;43;1
2;230250050225230;Privado;Urbano;50;50;55;1
2;239720052234239;Privado;Urbano;48;47;48;1
2;268250058261268;Privado;Urbano;46;46;53;1
2;277800060270277;Privado;Urbano;0;0;61;0
2;287370062279287;Estatal;Urbano;34;33;37;1
2;296960064288296;Estatal;Urbano;28;28;38;1
2;306570066297306;Estatal;Urbano;49;40;68;1
2;335520072324335;Estatal;Urbano;39;39;45;1
2;345210074333345;Estatal;Urbano;0;0;39;0
2;354920076342354;Estatal;Urbano;28;28;35;1
2;364650078351364;Estatal;Urbano;30;29;39;1
2;374400080360374;Estatal;Urbano;31;2;39;1
2;393960084378393;Estatal;Urbano;38;37;44;1
2;413600088396413;Privado;Urbano;30;30;31;1
2;423450090405423;Estatal;Urbano;42;36;44;1
2;443210094423443;Privado;Urbano;91;91;103;1
2;463050098441463;Privado;Urbano;76;76;81;1
2;482970010245948;Estatal;Urbano;42;41;44;1
2;492960010446849;Privado;Urbano;54;54;59;1
2;502970010647750;Privado;Urbano;51;51;56;1
2;523050011049552;Privado;Urbano;28;28;31;1
2;563450011853156;Privado;Urbano;98;98;103;1
2;573600012054057;Privado;Urbano;72;72;76;1
2;604170012656760;Privado;Urbano;60;59;63;1
2;614400012857661;Privado;Urbano;19;19;24;1
2;624650013058562;Estatal;Urbano;38;30;45;1
2;634920013259463;Privado;Urbano;27;18;35;1
2;676200014063067;Privado;Urbano;95;94;101;1
2;686570014263968;Privado;Urbano;23;23;26;1
2;696960014464869;Privado;Urbano;50;50;54;1
2;717800014866671;Estatal;Urbano;31;30;43;1
2;728250015067572;Estatal;Urbano;36;36;43;1
2;738720015268473;Estatal;Urbano;40;39;47;1
2;759720015670275;Privado;Urbano;36;22;52;1
2;780800016072078;Privado;Urbano;56;55;63;1
2;791370016272979;Privado;Urbano;0;0;13;0
2;801960016473880;Privado;Urbano;52;50;57;1
2;812570016674781;Estatal;Urbano;44;44;47;1
2;844520017277484;Estatal;Urbano;41;41;52;1
2;855210017478385;Privado;Urbano;50;50;54;1
2;865920017679286;Estatal;Urbano;16;16;21;1
2;898170018281989;Estatal;Urbano;83;81;95;1
2;919770018683791;Privado;Urbano;11;11;12;1
2;930600018884693;Privado;Urbano;57;56;66;1
2;941450019085594;Estatal;Urbano;46;43;49;1
2;974120019688297;Estatal;Urbano;36;36;44;1
2;996000020090099;Estatal;Urbano;21;21;24;1
2;100697002029091;Estatal;Urbano;31;31;37;1
2;101796002049181;Privado;Urbano;9;9;53;1
2;102897002069271;Privado;Urbano;53;53;55;1
2;201002010020100;Estatal;Urbano;58;53;66;1
2;100502000100502;Privado;Urbano;24;24;29;1
2;120603000120603;Estatal;Urbano;45;42;56;1
2;160805600160805;Estatal;Urbano;22;21;28;1
2;180907200180907;Estatal;Urbano;28;28;30;1
2;201009000201009;Estatal;Urbano;27;27;31;1
2;221003417022100;Estatal;Urbano;15;15;20;1
2;252003618025200;Estatal;Urbano;32;32;36;1
2;725005829072500;Estatal;Urbano;30;30;36;1
2;780006030078000;Estatal;Urbano;43;43;52;1
2;837006231083700;Estatal;Urbano;28;12;37;1
2;102000683401020;Estatal;Urbano;30;30;38;1
2;144000804001440;Estatal;Urbano;33;33;37;1
2;176000884401760;Privado;Urbano;27;27;32;1
2;230000100500230;Estatal;Urbano;39;39;43;1
2;239700102510239;Estatal;Urbano;32;32;37;1
2;259700106530259;Privado;Urbano;23;1;25;1
2;291200112560291;Privado;Urbano;23;23;23;1
2;302100114570302;Privado;Urbano;28;28;33;1
2;313200116580313;Privado;Urbano;39;39;45;1
2;371700126630371;Estatal;Urbano;84;83;95;1
2;489600144720489;Privado;Urbano;22;22;23;1
2;518000148740518;Estatal;Urbano;29;29;34;1
2;672000168840672;Estatal;Urbano;92;86;109;1
2;688500170850688;Estatal;Urbano;18;18;20;1
2;705200172860705;Estatal;Urbano;34;33;36;1
2;774000180900774;Estatal;Urbano;65;65;75;1
2;791700182910791;Estatal;Urbano;64;62;73;1
2;809600184920809;Privado;Urbano;64;59;70;1
2;864500190950864;Privado;Urbano;83;83;99;1
2;883200192960883;Estatal;Urbano;100;91;116;1
2;902100194970902;Estatal;Urbano;95;90;107;1
